"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","prate","Observer","SexEstimate","new_bug","BroodSize","nr_helpers","WatchType"
"270",298,1988,1988,0,2889,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"271",298,1988,1989,1,2889,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"272",298,1988,1990,2,2889,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"273",298,1988,1991,3,2889,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"274",298,1988,1992,4,2889,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"275",298,1988,1993,5,2889,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"276",298,1988,1994,6,2889,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"277",298,1988,1995,7,2889,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"278",298,1988,1996,8,2889,21,"Dom",0.0833333333333333,NA,"1",5.50450219233333,1,1,"FI"
"279",308,1990,1990,0,4003,12,"Sub",NA,NA,"0",2.65244281811658,NA,NA,NA
"280",308,1990,1991,1,4003,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"281",308,1990,1992,2,4003,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"282",308,1990,1993,3,4003,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"283",308,1990,1994,4,4003,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"284",308,1990,1995,5,4003,19,"Dom",NA,NA,"0",NA,NA,NA,NA
"285",308,1990,1996,6,4003,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"286",308,1990,1997,7,4003,22,"Dom",NA,NA,"0",6.34906043057842,NA,NA,NA
"287",308,1990,1998,8,4003,25,"Dom",0.0833333333333333,NA,"0",3.40909704426667,2,1,"FI"
"288",308,1990,1998,8,4003,25,"Dom",0.116666666666667,NA,"0",3.40909704426667,2,1,"FI"
"289",308,1990,1998,8,4003,25,"Dom",0.25,NA,"0",3.40909704426667,2,1,"F"
"290",308,1990,1999,9,4003,28,"Dom",NA,NA,"0",5.15521640609487,NA,NA,NA
"291",308,1990,2000,10,4003,39,"Dom",NA,NA,"0",NA,NA,NA,NA
